path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Drive Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Mega Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Prodigy Bass Wobble.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Prodigy Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Round Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Square Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Bass/Upright Bass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/FX/Dive FX 1.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/FX/Dive FX 2.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Keys/Classic Piano.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Keys/Drift Keys.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Keys/Ghost Keys.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Keys/Lullaby.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Keys/Optimistic.xpm,Keygroup,gzip-json,pass,57,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Bots.xpm,Keygroup,gzip-json,pass,70,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Dark FM.xpm,Keygroup,gzip-json,pass,61,production,pass,,pass,yes,lead,"Plays successfully on the Key 37 and is selected for the dedicated Scratchpad Lead track."
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Drippy.xpm,Keygroup,gzip-json,pass,34,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Loony Bin.xpm,Keygroup,gzip-json,pass,60,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Machinas.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Leads/Muted Guitar.xpm,Keygroup,gzip-json,pass,53,production,pass,,pass,provisional,candidate:lead/pad,"Plays successfully on the Key 37 and is liked as an additional lead option."
Programs/Keygroups/Samples From Mars/Emulator From Mars/Orchestral/Arcane Strings.xpm,Keygroup,gzip-json,pass,15,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Orchestral/Brass Section.xpm,Keygroup,gzip-json,pass,62,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Orchestral/Smooth Strings.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Orchestral/Various Orch.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Orchestral/Weird Orchestra.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Pads/Angel Pad.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Pads/Dirty Circuit.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Pads/Pillow Pad.xpm,Keygroup,gzip-json,pass,62,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Pads/Resonant Glass.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Pads/Ultimate.xpm,Keygroup,gzip-json,pass,61,production,pass,,warn,,candidate:lead/pad,"Eventually loads and works on the Key 37, but loading is slow enough to appear hung; allow extra time before retrying or power-cycling."
Programs/Keygroups/Samples From Mars/Emulator From Mars/Vocal/Breathy.xpm,Keygroup,gzip-json,pass,48,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Vocal/Choir.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Emulator From Mars/Vocal/Duet.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Acid Bass.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Dusty Pluck.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Funk Bass.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Funky Bass.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Grit Bass.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Sub Only.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Sub Smash.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Sub Smooth.xpm,Keygroup,gzip-json,pass,109,production,pass,,pass,yes,bass pad,"Auditioned successfully on the Key 37 and selected for the dedicated Scratchpad Bass Pad track."
Programs/Keygroups/Samples From Mars/Junos From Mars/Bass/Thumper.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Leads/Clarinet.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Leads/PWM Chorus.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Leads/PWM.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Junos From Mars/Leads/Triple Play.xpm,Keygroup,gzip-json,pass,44,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Keys/Air Bass.xpm,Keygroup,gzip-json,pass,81,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Keys/Drops.xpm,Keygroup,gzip-json,pass,81,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Keys/Hologram.xpm,Keygroup,gzip-json,pass,65,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Keys/Jazz Harp.xpm,Keygroup,gzip-json,pass,81,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Keys/Randroid.xpm,Keygroup,gzip-json,pass,78,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Organs/Indie Organ.xpm,Keygroup,gzip-json,pass,80,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Organs/Leslie.xpm,Keygroup,gzip-json,pass,81,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Pads/Analog Strings.xpm,Keygroup,gzip-json,pass,21,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Pads/Glass Howl.xpm,Keygroup,gzip-json,pass,79,production,pass,,pass,yes,pad,"Plays successfully on the Key 37 and is selected for the dedicated Scratchpad Pad track."
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Pads/Warm Strings.xpm,Keygroup,gzip-json,pass,21,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Voices/Bell Air.xpm,Keygroup,gzip-json,pass,64,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Voices/Hello.xpm,Keygroup,gzip-json,pass,69,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Voices/Return Home.xpm,Keygroup,gzip-json,pass,14,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Kawaii Dreams From Mars/Voices/Voices.xpm,Keygroup,gzip-json,pass,77,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/3PulseWaves.xpm,Keygroup,gzip-json,pass,264,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/MultiPulseMod.xpm,Keygroup,gzip-json,pass,228,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/PulseEGMod.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/Sawtooth.xpm,Keygroup,gzip-json,pass,88,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/SweeterPushin.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Basics/Triangle.xpm,Keygroup,gzip-json,pass,89,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/FX/LA1991.xpm,Keygroup,gzip-json,pass,67,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/FX/PoorMansSeq.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/FX/UpSlide.xpm,Keygroup,gzip-json,pass,55,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Leads/ChillingGhosts.xpm,Keygroup,gzip-json,pass,143,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Leads/MrPink.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/Leads/PartialEuro.xpm,Keygroup,gzip-json,pass,32,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/One Hits/1Shot.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/MS10 From Mars/One Hits/MsDub.xpm,Keygroup,gzip-json,pass,80,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 1.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 10.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 11.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 12.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 13.xpm,Keygroup,gzip-json,pass,70,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 14.xpm,Keygroup,gzip-json,pass,36,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 15.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 16.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 17.xpm,Keygroup,gzip-json,pass,67,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 18.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 19.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 2.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 20.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 21.xpm,Keygroup,gzip-json,pass,24,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 22.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 23.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 24.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 25.xpm,Keygroup,gzip-json,pass,78,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 26.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 27.xpm,Keygroup,gzip-json,pass,69,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 3.xpm,Keygroup,gzip-json,pass,69,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 4.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 5.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 6.xpm,Keygroup,gzip-json,pass,53,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 7.xpm,Keygroup,gzip-json,pass,56,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 8.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Micro From Mars/Synths/MicroMoog 9.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Authority.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Basic Triangle.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Dystopia Bass.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Grand Square.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Mama Bass.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Bass/Straight Saw.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/FX/Octave Jumper.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/FX/Sea Sick.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Combo Organ.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Creamy Poly.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Dippin Rez Octave.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Easy Wave.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Fat N Creamy Split.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Hairy Dog.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Harmonium.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Loose Unit.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Keys & Poly/Magic Spell.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Electricity Tear.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Hyper Future.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Perky Noise Saw.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Ring Mod Bells.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Sharp Lead.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mini From Mars/Leads/Sonic Destruction.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Bass/Fuzz Bass.xpm,Keygroup,gzip-json,pass,71,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Bass/Melodic Bass.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Bass/Pluck Bass.xpm,Keygroup,gzip-json,pass,73,production,pass,,pass,yes,bass,Plays correctly on the Key 37 and is selected as the primary Scratchpad bass.
Programs/Keygroups/Samples From Mars/Mirage From Mars/Bass/Upright Bass.xpm,Keygroup,gzip-json,pass,73,production,pass,,pass,provisional,candidate:bass,"Plays successfully on the Key 37 and is strongly liked for its breathy noise and vinyl-like character, but Pluck Bass remains the primary bass."
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Acoustic Guitar Chorus.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Acoustic Guitar.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Distorted Guitar.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Guitar E Piano.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Pluck Guitar.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Guitar/Warp Guitar.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/Artifact Piano.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/Attack Piano.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/Celeste.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/Dark Piano.xpm,Keygroup,gzip-json,pass,72,production,pass,,pass,provisional,candidate:keys,Plays correctly on the Key 37 and sounds great; retained as a provisional keys alternative behind Mirage Wurli.
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/E Piano.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Keys/Wurli.xpm,Keygroup,gzip-json,pass,73,production,pass,,pass,yes,keys,Plays correctly on the Key 37 and ranked number one for the Scratchpad keys role.
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/Clarinet.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/Flute.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/Persian Trumpet.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/String Quartet.xpm,Keygroup,gzip-json,pass,72,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/Trombone Pad.xpm,Keygroup,gzip-json,pass,72,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Orchestral/Violin.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Broken Brass.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Chord Explosion.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Electric Strings.xpm,Keygroup,gzip-json,pass,68,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Fog Synth.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Jupiter Verb.xpm,Keygroup,gzip-json,pass,69,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Metro Moog.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Sine.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Static Sub.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Synth/Stutter Bass.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Vox/Breath Vox.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Vox/Choir.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Mirage From Mars/Vox/Dark Vox.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/101 Bases.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Afternoon Raver.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Berlin Glide.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Classic Sub.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Echo Bass.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Electricity Bass.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Medium Muff.xpm,Keygroup,gzip-json,pass,255,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Sleaze Bass.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Bass/Tom Sawyer Bass.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Brass & Woodwinds/Clarinet.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Brass & Woodwinds/Hard Trumpet.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Brass & Woodwinds/Retro Flute.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Dont Answer That.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Evil Butterflies.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Horror Movie.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Polizei.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Rave Go Down.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Rave Go Up.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Wasp Factory.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/FX/Wooden Click.xpm,Keygroup,gzip-json,pass,170,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/AM Funk.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Classic 5ths.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Clav Funk.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Harp INC.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Mellow Mallet.xpm,Keygroup,gzip-json,pass,255,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Movement Keys.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Warble Chords.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Keys/Warm Keys.xpm,Keygroup,gzip-json,pass,85,production,pass,,pass,provisional,candidate:keys,Plays correctly on the Key 37 and sounds great; retained as a provisional warm-keys alternative behind Mirage Wurli.
Programs/Keygroups/Samples From Mars/OB From Mars/Leads/Black Star Saw.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/OB From Mars/Leads/Black Star Tri.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
