path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
Programs/Keygroups/Samples From Mars/2600 From Mars/Bass/Osc1Saw.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/FX/DeathOrchestraHit.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/FX/GoLowR2.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/FX/PennyFarthing.xpm,Keygroup,gzip-json,pass,108,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/FX/SampleAndChill.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/HooverKraftLead.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/Jackie's33.xpm,Keygroup,gzip-json,pass,83,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/Jaws.xpm,Keygroup,gzip-json,pass,96,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/LittleMetalsLead.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/MarioIsOnPCP.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/ModPulse.xpm,Keygroup,gzip-json,pass,107,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/Osc1Square.xpm,Keygroup,gzip-json,pass,121,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/RankingDons.xpm,Keygroup,gzip-json,pass,170,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/Sehnsucht.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Leads/TechNoir.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Pads/BuildAShimmerPad.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Pads/OneFiftySeven.xpm,Keygroup,gzip-json,pass,96,production,pass,,pass,no,candidate:lead/pad,"Passes on the Key 37 and remains a known-good alternative; Dark FM and Glass Howl were selected for the dedicated Lead and Pad tracks."
Programs/Keygroups/Samples From Mars/2600 From Mars/Pads/Osc2Sine.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Pads/TheThreeStorms.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Pads/WheelToHell.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Perc/Timpaniz.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Perc/WhiteLies.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Bass/E Bass Multi Filter.xpm,Keygroup,gzip-json,pass,162,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Bass/Slap Bass Multi Filter.xpm,Keygroup,gzip-json,pass,153,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Clarinet.xpm,Keygroup,gzip-json,pass,42,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/English Horn.xpm,Keygroup,gzip-json,pass,42,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Flute Filter.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Flute.xpm,Keygroup,gzip-json,pass,39,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/French Horn Filter.xpm,Keygroup,gzip-json,pass,39,production,pass,,untested,,,
